07-21-2026 19:04:48 RAM 1636/7546MB (lfb 194x4MB) SWAP 2434/8192MB (cached 84MB) CPU [45%@1113,20%@1113,33%@1113,21%@1113,25%@1113,45%@1113] GR3D_FREQ 0% cpu@51.343C/51.687C soc2@50.562C/51.093C soc0@51.656C/52.031C gpu@51.656C/52.562C tj@51.656C/52.562C soc1@51.562C/52.125C VDD_IN 6009mW/5157mW/6009mW VDD_CPU_GPU_CV 2000mW/1523mW/2000mW VDD_SOC 1360mW/1211mW/1360mW
07-21-2026 19:04:48 RAM 1647/7546MB (lfb 194x4MB) SWAP 2432/8192MB (cached 94MB) CPU [52%@883,30%@883,40%@883,47%@883,33%@1497,57%@1497] GR3D_FREQ 0% cpu@51.531C/51.687C soc2@50.718C/51.093C soc0@51.562C/52.031C gpu@52C/52.562C tj@52C/52.562C soc1@51.656C/52.125C VDD_IN 6330mW/5195mW/6330mW VDD_CPU_GPU_CV 2160mW/1543mW/2160mW VDD_SOC 1400mW/1217mW/1400mW
07-21-2026 19:04:48 RAM 1647/7546MB (lfb 194x4MB) SWAP 2420/8192MB (cached 94MB) CPU [19%@729,10%@729,13%@729,5%@729,5%@1728,30%@1728] GR3D_FREQ 0% cpu@51.312C/51.687C soc2@50.781C/51.093C soc0@51.625C/52.031C gpu@52.031C/52.562C tj@52.031C/52.562C soc1@51.75C/52.125C VDD_IN 6169mW/5226mW/6330mW VDD_CPU_GPU_CV 2040mW/1559mW/2160mW VDD_SOC 1400mW/1222mW/1400mW
07-21-2026 19:04:48 RAM 1673/7546MB (lfb 194x4MB) SWAP 2420/8192MB (cached 94MB) CPU [23%@1728,13%@1728,15%@1728,9%@1728,0%@1113,0%@1113] GR3D_FREQ 0% cpu@51.812C/51.812C soc2@50.656C/51.093C soc0@51.656C/52.031C gpu@51.812C/52.562C tj@51.812C/52.562C soc1@51.468C/52.125C VDD_IN 5929mW/5247mW/6330mW VDD_CPU_GPU_CV 1920mW/1570mW/2160mW VDD_SOC 1360mW/1227mW/1400mW
07-21-2026 19:04:49 RAM 1671/7546MB (lfb 194x4MB) SWAP 2418/8192MB (cached 95MB) CPU [45%@1267,18%@1267,35%@1267,35%@1267,13%@729,20%@729] GR3D_FREQ 0% cpu@51.562C/51.812C soc2@50.718C/51.093C soc0@51.531C/52.031C gpu@51.937C/52.562C tj@51.937C/52.562C soc1@51.593C/52.125C VDD_IN 6049mW/5271mW/6330mW VDD_CPU_GPU_CV 2040mW/1584mW/2160mW VDD_SOC 1360mW/1231mW/1400mW
07-21-2026 19:04:49 RAM 1679/7546MB (lfb 194x4MB) SWAP 2416/8192MB (cached 101MB) CPU [50%@1190,42%@1190,36%@1190,38%@1190,14%@729,19%@729] GR3D_FREQ 0% cpu@51.812C/51.812C soc2@50.781C/51.093C soc0@51.468C/52.031C gpu@51.75C/52.562C tj@51.812C/52.562C soc1@51.656C/52.125C VDD_IN 6249mW/5299mW/6330mW VDD_CPU_GPU_CV 2160mW/1600mW/2160mW VDD_SOC 1362mW/1234mW/1400mW
07-21-2026 19:04:49 RAM 1683/7546MB (lfb 194x4MB) SWAP 2413/8192MB (cached 101MB) CPU [52%@1574,52%@1574,54%@1574,41%@1574,10%@729,22%@729] GR3D_FREQ 0% cpu@52.125C/52.125C soc2@50.906C/51.093C soc0@51.531C/52.031C gpu@51.843C/52.562C tj@52.125C/52.562C soc1@51.75C/52.125C VDD_IN 6450mW/5331mW/6450mW VDD_CPU_GPU_CV 2360mW/1621mW/2360mW VDD_SOC 1400mW/1239mW/1400mW
07-21-2026 19:04:49 RAM 1687/7546MB (lfb 194x4MB) SWAP 2407/8192MB (cached 101MB) CPU [44%@1113,52%@1113,40%@1113,42%@1113,37%@1267,10%@1267] GR3D_FREQ 0% cpu@51.562C/52.125C soc2@50.781C/51.093C soc0@51.437C/52.031C gpu@51.687C/52.562C tj@51.687C/52.562C soc1@51.625C/52.125C VDD_IN 6570mW/5364mW/6570mW VDD_CPU_GPU_CV 2440mW/1643mW/2440mW VDD_SOC 1440mW/1244mW/1440mW
07-21-2026 19:04:49 RAM 1686/7546MB (lfb 194x4MB) SWAP 2405/8192MB (cached 101MB) CPU [40%@1497,26%@1497,47%@1497,47%@1497,22%@1267,16%@1267] GR3D_FREQ 0% cpu@51.843C/52.125C soc2@50.875C/51.093C soc0@51.531C/52.031C gpu@52.125C/52.562C tj@52.125C/52.562C soc1@51.687C/52.125C VDD_IN 6730mW/5400mW/6730mW VDD_CPU_GPU_CV 2480mW/1665mW/2480mW VDD_SOC 1440mW/1250mW/1440mW
07-21-2026 19:04:50 RAM 1749/7546MB (lfb 194x4MB) SWAP 2405/8192MB (cached 102MB) CPU [21%@1344,47%@1344,14%@1344,5%@1344,20%@1728,62%@1728] GR3D_FREQ 0% cpu@51.75C/52.125C soc2@50.812C/51.093C soc0@51.468C/52.031C gpu@51.875C/52.562C tj@51.875C/52.562C soc1@51.656C/52.125C VDD_IN 6690mW/5433mW/6730mW VDD_CPU_GPU_CV 2440mW/1685mW/2480mW VDD_SOC 1480mW/1255mW/1480mW
07-21-2026 19:04:50 RAM 1739/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 102MB) CPU [54%@1574,13%@1574,18%@1574,15%@1574,9%@1728,63%@1728] GR3D_FREQ 0% cpu@51.406C/52.125C soc2@50.937C/51.093C soc0@51.468C/52.031C gpu@51.718C/52.562C tj@51.781C/52.562C soc1@51.781C/52.125C VDD_IN 6650mW/5463mW/6730mW VDD_CPU_GPU_CV 2360mW/1702mW/2480mW VDD_SOC 1480mW/1261mW/1480mW
07-21-2026 19:04:50 RAM 1771/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [33%@1728,42%@1728,15%@1728,19%@1728,15%@1113,20%@1113] GR3D_FREQ 0% cpu@51.656C/52.125C soc2@50.781C/51.093C soc0@51.593C/52.031C gpu@52.125C/52.562C tj@52.125C/52.562C soc1@51.75C/52.125C VDD_IN 6650mW/5492mW/6730mW VDD_CPU_GPU_CV 2360mW/1718mW/2480mW VDD_SOC 1520mW/1267mW/1520mW
