burst_mb,cpu_c,cpu_pct,gpu_c,mbps,t,tj_c
4,57.312,100.0,56.562,267.25008002673314,5.182995654000024,57.312
4,57.312,100.0,56.375,220.48990209682262,5.203180820999933,57.312
4,57.218,100.0,56.375,263.35368221772495,5.2202741559999595,57.218
4,57.468,100.0,56.687,201.85382126341216,5.246484964000047,57.468
4,57.125,100.0,56.468,186.26879267881444,5.270144920999883,57.125
4,57.281,100.0,56.437,280.4146252178772,5.286264842000037,57.281
4,57.218,100.0,56.25,177.47384587289318,5.311052843000198,57.218
4,57.312,100.0,56.718,220.18357485470756,5.331273435000185,57.312
4,57.187,100.0,56.25,214.72404635917016,5.352008382999884,57.187
4,57.125,100.0,56.156,211.91745680498002,5.372988204000194,57.125
4,57.312,100.0,56.281,223.24157442354,5.392961427000046,57.312
4,57.25,100.0,56.25,260.35715259313787,5.41022596799985,57.25
4,57.093,100.0,56.218,202.01311660842316,5.432101087999854,57.25
4,57.281,100.0,56.156,250.44937595672718,5.450106874000085,57.281
4,57.062,100.0,56.062,220.70041994994506,5.470250598999883,57.062
4,57.156,100.0,56.312,263.3658694877466,5.48970562500017,57.156
4,57.281,100.0,56.468,206.85184302208114,5.514140428999781,57.281
4,57.187,100.0,56.093,183.90298202898225,5.538124782000068,57.187
4,57.0,100.0,56.25,223.77824148425415,5.558126966000145,57.0
4,56.968,100.0,56.25,283.6037651482221,5.574085921000005,56.968
4,57.125,100.0,56.5,222.26070552244283,5.5941355939999085,57.125
4,56.937,100.0,56.062,221.94305260889408,5.614176083000075,56.937
4,57.218,100.0,56.093,267.29695061163864,5.631008030999965,57.218
4,56.937,100.0,56.593,280.65359578520787,5.647139664999941,56.937
4,57.156,100.0,56.156,218.51114774355548,5.667530886999884,57.156
4,57.218,100.0,56.093,278.55344410997736,5.683744284000113,57.218
4,57.0,100.0,56.375,242.92435632901706,5.702165029999833,57.0
4,57.25,100.0,56.562,214.94801264174922,5.722840936000011,57.25
4,57.093,100.0,56.218,237.89430363040148,5.741671266000139,57.093
4,57.281,100.0,56.093,296.00710139726056,5.757012469000074,57.281
4,57.593,100.0,56.093,261.36490389197945,5.774159853000128,57.593
4,57.343,100.0,56.25,276.40402937502705,5.7905261840001,57.343
4,57.312,100.0,56.093,186.5155724308285,5.814138875000026,57.312
4,57.218,100.0,56.156,275.93094121768905,5.830490292999912,57.218
4,57.218,100.0,56.187,295.7886667729979,5.845859945000029,57.0
4,56.968,91.7,56.218,218.2567885466121,5.866195262000019,56.968
4,57.093,100.0,56.187,261.985040581072,5.88334094999982,57.093
4,57.218,100.0,56.187,260.70931662643187,5.900593843000024,57.218
4,57.281,100.0,56.218,256.1932395021904,5.918141435000052,57.281
4,56.937,100.0,56.062,224.58001655063939,5.937969499999781,56.937
4,57.25,100.0,56.312,228.68779089324053,5.957499536999876,57.25
4,57.031,100.0,56.406,248.34191681338342,5.9781419050000295,57.031
4,56.937,100.0,56.375,322.32316526600357,5.992330102999858,56.937
4,57.062,100.0,56.093,222.07731118524865,6.012359743000161,57.062
4,57.25,100.0,56.187,227.14095430268142,6.032011481000154,57.25
4,57.531,100.0,56.406,273.42122421570366,6.048548408999977,57.531
4,57.156,100.0,56.406,237.2969211728184,6.069715917999929,57.156
4,57.468,100.0,56.218,207.49336109155007,6.091179693999948,57.468
4,57.156,100.0,56.562,237.35709523799153,6.109981606000019,57.156
4,57.218,100.0,56.468,258.5197311041571,6.127336358999855,57.218
4,57.375,90.9,56.156,208.6780388438719,6.148599903000104,57.375
4,57.281,100.0,56.093,296.5066777720556,6.163855534000049,57.281
4,57.531,92.3,56.25,230.69191171975632,6.183116441000038,57.531
4,57.281,100.0,56.562,234.55319931443353,6.202145914000084,57.281
4,57.343,100.0,56.156,243.66002653351913,6.220513985999787,57.343
4,57.25,100.0,56.312,195.47084834231737,6.243125230999794,57.25
4,57.406,100.0,56.218,302.2412511694512,6.2581645659997776,57.406
4,57.375,100.0,56.156,289.689066810356,6.273810963999949,57.375
4,57.281,100.0,56.468,253.08698181824352,6.291555459999927,57.281
4,57.25,100.0,56.218,330.2848118048115,6.305381083000157,57.25
4,57.593,100.0,56.031,202.4480928936615,6.327244362999863,57.593
4,57.218,100.0,56.218,218.86654653157277,6.347574111000085,57.218
