07-21-2026 19:01:46 RAM 1590/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [9%@729,4%@729,5%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.781C/52.687C soc2@51.312C/51.593C soc0@52.25C/52.687C gpu@52.406C/53.093C tj@52.531C/53.093C soc1@52.531C/52.812C VDD_IN 5128mW/5180mW/5368mW VDD_CPU_GPU_CV 1480mW/1527mW/1640mW VDD_SOC 1200mW/1214mW/1241mW
07-21-2026 19:01:46 RAM 1590/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [0%@729,0%@729,0%@729,0%@729,4%@729,0%@729] GR3D_FREQ 0% cpu@52.125C/52.687C soc2@51.187C/51.593C soc0@52.156C/52.687C gpu@52.5C/53.093C tj@52.531C/53.093C soc1@52.25C/52.812C VDD_IN 5048mW/5175mW/5368mW VDD_CPU_GPU_CV 1480mW/1525mW/1640mW VDD_SOC 1200mW/1213mW/1241mW
07-21-2026 19:01:46 RAM 1590/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [0%@729,9%@729,4%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@51.625C/52.687C soc2@51.218C/51.593C soc0@52.343C/52.687C gpu@52.25C/53.093C tj@52.343C/53.093C soc1@52.218C/52.812C VDD_IN 5048mW/5170mW/5368mW VDD_CPU_GPU_CV 1440mW/1522mW/1640mW VDD_SOC 1200mW/1213mW/1241mW
07-21-2026 19:01:46 RAM 1591/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [5%@729,9%@729,5%@729,5%@729,0%@729,13%@729] GR3D_FREQ 0% cpu@51.562C/52.687C soc2@51.25C/51.593C soc0@52.031C/52.687C gpu@52.187C/53.093C tj@52.312C/53.093C soc1@52.312C/52.812C VDD_IN 5088mW/5166mW/5368mW VDD_CPU_GPU_CV 1480mW/1520mW/1640mW VDD_SOC 1200mW/1212mW/1241mW
07-21-2026 19:01:47 RAM 1591/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [0%@729,0%@729,0%@729,0%@729,9%@729,0%@729] GR3D_FREQ 0% cpu@51.718C/52.687C soc2@51.281C/51.593C soc0@52.093C/52.687C gpu@52.187C/53.093C tj@52.25C/53.093C soc1@52.25C/52.812C VDD_IN 5048mW/5162mW/5368mW VDD_CPU_GPU_CV 1480mW/1519mW/1640mW VDD_SOC 1200mW/1212mW/1241mW
07-21-2026 19:01:47 RAM 1591/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [4%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.906C/52.687C soc2@51.25C/51.593C soc0@52.187C/52.687C gpu@52.562C/53.093C tj@52.562C/53.093C soc1@52.281C/52.812C VDD_IN 5008mW/5157mW/5368mW VDD_CPU_GPU_CV 1440mW/1516mW/1640mW VDD_SOC 1200mW/1211mW/1241mW
07-21-2026 19:01:47 RAM 1591/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [9%@729,0%@729,0%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@51.562C/52.687C soc2@51.093C/51.593C soc0@52.187C/52.687C gpu@52.406C/53.093C tj@52.468C/53.093C soc1@52.468C/52.812C VDD_IN 5048mW/5153mW/5368mW VDD_CPU_GPU_CV 1480mW/1514mW/1640mW VDD_SOC 1200mW/1211mW/1241mW
07-21-2026 19:01:47 RAM 1591/7546MB (lfb 140x4MB) SWAP 2411/8192MB (cached 32MB) CPU [0%@729,0%@729,4%@729,4%@729,0%@729,9%@729] GR3D_FREQ 0% cpu@51.562C/52.687C soc2@51.156C/51.593C soc0@52.25C/52.687C gpu@52.468C/53.093C tj@52.468C/53.093C soc1@52.156C/52.812C VDD_IN 5048mW/5149mW/5368mW VDD_CPU_GPU_CV 1480mW/1513mW/1640mW VDD_SOC 1200mW/1211mW/1241mW
07-21-2026 19:01:47 RAM 1591/7546MB (lfb 140x4MB) SWAP 2410/8192MB (cached 32MB) CPU [4%@729,5%@729,9%@729,9%@729,5%@729,9%@729] GR3D_FREQ 0% cpu@51.593C/52.687C soc2@51C/51.593C soc0@52C/52.687C gpu@52.218C/53.093C tj@52.218C/53.093C soc1@52.218C/52.812C VDD_IN 5048mW/5146mW/5368mW VDD_CPU_GPU_CV 1480mW/1512mW/1640mW VDD_SOC 1200mW/1210mW/1241mW
07-21-2026 19:01:48 RAM 1591/7546MB (lfb 140x4MB) SWAP 2410/8192MB (cached 32MB) CPU [19%@960,22%@960,14%@960,10%@960,9%@729,0%@729] GR3D_FREQ 0% cpu@51.781C/52.687C soc2@51.281C/51.593C soc0@52.031C/52.687C gpu@52.187C/53.093C tj@52.312C/53.093C soc1@52.156C/52.812C VDD_IN 5288mW/5151mW/5368mW VDD_CPU_GPU_CV 1600mW/1515mW/1640mW VDD_SOC 1240mW/1211mW/1241mW
07-21-2026 19:01:48 RAM 1596/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 32MB) CPU [17%@1190,14%@1190,4%@1190,4%@1190,0%@729,0%@729] GR3D_FREQ 0% cpu@51.781C/52.687C soc2@51.187C/51.593C soc0@52.031C/52.687C gpu@52.187C/53.093C tj@52.218C/53.093C soc1@52.218C/52.812C VDD_IN 5248mW/5153mW/5368mW VDD_CPU_GPU_CV 1560mW/1516mW/1640mW VDD_SOC 1240mW/1212mW/1241mW
07-21-2026 19:01:48 RAM 1605/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 32MB) CPU [55%@1728,5%@1728,9%@1728,14%@1728,0%@729,4%@729] GR3D_FREQ 0% cpu@52.062C/52.687C soc2@51.062C/51.593C soc0@52.218C/52.687C gpu@52.593C/53.093C tj@52.593C/53.093C soc1@52.343C/52.812C VDD_IN 5488mW/5163mW/5488mW VDD_CPU_GPU_CV 1640mW/1520mW/1640mW VDD_SOC 1280mW/1214mW/1280mW
07-21-2026 19:01:48 RAM 1608/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 32MB) CPU [34%@1728,5%@1728,10%@1728,0%@1728,0%@729,4%@729] GR3D_FREQ 0% cpu@51.656C/52.687C soc2@51.125C/51.593C soc0@52.125C/52.687C gpu@52.125C/53.093C tj@52.156C/53.093C soc1@52.093C/52.812C VDD_IN 5769mW/5181mW/5769mW VDD_CPU_GPU_CV 1720mW/1526mW/1720mW VDD_SOC 1360mW/1218mW/1360mW
07-21-2026 19:01:48 RAM 1603/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 32MB) CPU [29%@729,18%@729,4%@729,5%@729,0%@1728,10%@1728] GR3D_FREQ 0% cpu@51.593C/52.687C soc2@51.187C/51.593C soc0@52.218C/52.687C gpu@52.375C/53.093C tj@52.375C/53.093C soc1@52.156C/52.812C VDD_IN 5849mW/5199mW/5849mW VDD_CPU_GPU_CV 1760mW/1532mW/1760mW VDD_SOC 1400mW/1223mW/1400mW
07-21-2026 19:01:49 RAM 1612/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 33MB) CPU [5%@729,0%@729,4%@729,4%@729,9%@1728,50%@1728] GR3D_FREQ 0% cpu@51.781C/52.687C soc2@51.187C/51.593C soc0@52.031C/52.687C gpu@52.187C/53.093C tj@52.187C/53.093C soc1@52.125C/52.812C VDD_IN 5969mW/5220mW/5969mW VDD_CPU_GPU_CV 1760mW/1538mW/1760mW VDD_SOC 1440mW/1229mW/1440mW
07-21-2026 19:01:49 RAM 1611/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 33MB) CPU [9%@729,10%@729,0%@729,5%@729,0%@1728,45%@1728] GR3D_FREQ 0% cpu@51.875C/52.687C soc2@51.062C/51.593C soc0@51.968C/52.687C gpu@52.093C/53.093C tj@52.281C/53.093C soc1@52.281C/52.812C VDD_IN 6009mW/5241mW/6009mW VDD_CPU_GPU_CV 1760mW/1544mW/1760mW VDD_SOC 1440mW/1235mW/1440mW
07-21-2026 19:01:49 RAM 1612/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 33MB) CPU [9%@729,4%@729,0%@729,4%@729,0%@1728,45%@1728] GR3D_FREQ 0% cpu@52C/52.687C soc2@51C/51.593C soc0@52.125C/52.687C gpu@52.187C/53.093C tj@52.437C/53.093C soc1@52.437C/52.812C VDD_IN 6049mW/5261mW/6049mW VDD_CPU_GPU_CV 1760mW/1550mW/1760mW VDD_SOC 1480mW/1241mW/1480mW
07-21-2026 19:01:49 RAM 1610/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 33MB) CPU [9%@729,0%@729,0%@729,5%@729,4%@1728,47%@1728] GR3D_FREQ 0% cpu@51.531C/52.687C soc2@51.031C/51.593C soc0@52.25C/52.687C gpu@52.156C/53.093C tj@52.25C/53.093C soc1@52.062C/52.812C VDD_IN 6049mW/5281mW/6049mW VDD_CPU_GPU_CV 1720mW/1554mW/1760mW VDD_SOC 1480mW/1247mW/1480mW
07-21-2026 19:01:49 RAM 1610/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 33MB) CPU [5%@729,9%@729,9%@729,0%@729,5%@1728,36%@1728] GR3D_FREQ 0% cpu@51.718C/52.687C soc2@50.937C/51.593C soc0@51.968C/52.687C gpu@52.156C/53.093C tj@52.156C/53.093C soc1@52.093C/52.812C VDD_IN 6089mW/5301mW/6089mW VDD_CPU_GPU_CV 1760mW/1559mW/1760mW VDD_SOC 1480mW/1253mW/1480mW
07-21-2026 19:01:50 RAM 1612/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 33MB) CPU [9%@729,0%@729,4%@729,13%@729,0%@1728,45%@1728] GR3D_FREQ 0% cpu@51.781C/52.687C soc2@51.093C/51.593C soc0@51.968C/52.687C gpu@52.156C/53.093C tj@52.156C/53.093C soc1@52.156C/52.812C VDD_IN 6049mW/5319mW/6089mW VDD_CPU_GPU_CV 1720mW/1563mW/1760mW VDD_SOC 1480mW/1258mW/1480mW
07-21-2026 19:01:50 RAM 1611/7546MB (lfb 142x4MB) SWAP 2410/8192MB (cached 33MB) CPU [9%@729,5%@729,4%@729,5%@729,4%@1728,42%@1728] GR3D_FREQ 0% cpu@51.906C/52.687C soc2@50.968C/51.593C soc0@52.031C/52.687C gpu@52.656C/53.093C tj@52.656C/53.093C soc1@51.968C/52.812C VDD_IN 6089mW/5337mW/6089mW VDD_CPU_GPU_CV 1760mW/1567mW/1760mW VDD_SOC 1482mW/1263mW/1482mW
07-21-2026 19:01:50 RAM 1614/7546MB (lfb 139x4MB) SWAP 2410/8192MB (cached 33MB) CPU [13%@729,0%@729,0%@729,4%@729,0%@1267,66%@1267] GR3D_FREQ 0% cpu@51.562C/52.687C soc2@51C/51.593C soc0@52.125C/52.687C gpu@52.125C/53.093C tj@52.125C/53.093C soc1@52.031C/52.812C VDD_IN 6089mW/5354mW/6089mW VDD_CPU_GPU_CV 1800mW/1573mW/1800mW VDD_SOC 1482mW/1268mW/1482mW
07-21-2026 19:01:50 RAM 1612/7546MB (lfb 140x4MB) SWAP 2410/8192MB (cached 33MB) CPU [5%@729,0%@729,0%@729,5%@729,9%@1113,61%@1113] GR3D_FREQ 0% cpu@51.687C/52.687C soc2@51.062C/51.593C soc0@51.968C/52.687C gpu@52.281C/53.093C tj@52.281C/53.093C soc1@52.093C/52.812C VDD_IN 6129mW/5371mW/6129mW VDD_CPU_GPU_CV 1800mW/1578mW/1800mW VDD_SOC 1482mW/1273mW/1482mW
07-21-2026 19:01:51 RAM 1612/7546MB (lfb 139x4MB) SWAP 2410/8192MB (cached 33MB) CPU [13%@729,9%@729,9%@729,5%@729,0%@1113,45%@1113] GR3D_FREQ 32% cpu@51.718C/52.687C soc2@51.093C/51.593C soc0@51.937C/52.687C gpu@52.187C/53.093C tj@52.562C/53.093C soc1@52.187C/52.812C VDD_IN 6209mW/5389mW/6209mW VDD_CPU_GPU_CV 1840mW/1583mW/1840mW VDD_SOC 1482mW/1278mW/1482mW
07-21-2026 19:01:51 RAM 1612/7546MB (lfb 116x4MB) SWAP 2410/8192MB (cached 33MB) CPU [23%@729,10%@729,15%@729,22%@729,4%@1113,45%@1113] GR3D_FREQ 0% cpu@52.031C/52.687C soc2@51.156C/51.593C soc0@51.968C/52.687C gpu@52.281C/53.093C tj@52.281C/53.093C soc1@52.25C/52.812C VDD_IN 6249mW/5407mW/6249mW VDD_CPU_GPU_CV 1920mW/1591mW/1920mW VDD_SOC 1522mW/1283mW/1522mW
07-21-2026 19:01:51 RAM 1608/7546MB (lfb 90x4MB) SWAP 2410/8192MB (cached 33MB) CPU [0%@729,4%@729,5%@729,4%@729,4%@1113,40%@1113] GR3D_FREQ 0% cpu@51.875C/52.687C soc2@50.937C/51.593C soc0@52.031C/52.687C gpu@52.093C/53.093C tj@52.343C/53.093C soc1@52.062C/52.812C VDD_IN 6209mW/5424mW/6249mW VDD_CPU_GPU_CV 1840mW/1596mW/1920mW VDD_SOC 1522mW/1288mW/1522mW
07-21-2026 19:01:51 RAM 1610/7546MB (lfb 65x4MB) SWAP 2410/8192MB (cached 34MB) CPU [10%@729,5%@729,4%@729,5%@729,0%@1113,45%@1113] GR3D_FREQ 0% cpu@51.531C/52.687C soc2@51C/51.593C soc0@52.093C/52.687C gpu@52.187C/53.093C tj@52.187C/53.093C soc1@51.968C/52.812C VDD_IN 6169mW/5439mW/6249mW VDD_CPU_GPU_CV 1840mW/1601mW/1920mW VDD_SOC 1522mW/1293mW/1522mW
07-21-2026 19:01:51 RAM 1608/7546MB (lfb 60x4MB) SWAP 2410/8192MB (cached 34MB) CPU [9%@729,4%@729,5%@729,4%@729,5%@1728,42%@1728] GR3D_FREQ 0% cpu@51.656C/52.687C soc2@50.968C/51.593C soc0@51.906C/52.687C gpu@51.968C/53.093C tj@52.031C/53.093C soc1@52.031C/52.812C VDD_IN 6169mW/5454mW/6249mW VDD_CPU_GPU_CV 1800mW/1605mW/1920mW VDD_SOC 1482mW/1296mW/1522mW
07-21-2026 19:01:52 RAM 1610/7546MB (lfb 60x4MB) SWAP 2410/8192MB (cached 34MB) CPU [10%@729,9%@729,4%@729,0%@729,0%@1728,43%@1728] GR3D_FREQ 0% cpu@51.812C/52.687C soc2@51.125C/51.593C soc0@51.875C/52.687C gpu@52.343C/53.093C tj@52.093C/53.093C soc1@52.093C/52.812C VDD_IN 6129mW/5467mW/6249mW VDD_CPU_GPU_CV 1760mW/1608mW/1920mW VDD_SOC 1480mW/1300mW/1522mW
07-21-2026 19:01:52 RAM 1611/7546MB (lfb 60x4MB) SWAP 2410/8192MB (cached 34MB) CPU [17%@729,0%@729,17%@729,0%@729,5%@1728,45%@1728] GR3D_FREQ 0% cpu@51.75C/52.687C soc2@50.937C/51.593C soc0@51.906C/52.687C gpu@52.531C/53.093C tj@52.531C/53.093C soc1@52.25C/52.812C VDD_IN 6129mW/5480mW/6249mW VDD_CPU_GPU_CV 1800mW/1612mW/1920mW VDD_SOC 1520mW/1304mW/1522mW
07-21-2026 19:01:52 RAM 1609/7546MB (lfb 60x4MB) SWAP 2410/8192MB (cached 34MB) CPU [5%@729,4%@729,0%@729,4%@729,0%@1728,42%@1728] GR3D_FREQ 0% cpu@51.437C/52.687C soc2@50.937C/51.593C soc0@52.093C/52.687C gpu@51.937C/53.093C tj@52.093C/53.093C soc1@51.968C/52.812C VDD_IN 6089mW/5491mW/6249mW VDD_CPU_GPU_CV 1760mW/1614mW/1920mW VDD_SOC 1480mW/1307mW/1522mW
07-21-2026 19:01:52 RAM 1612/7546MB (lfb 60x4MB) SWAP 2410/8192MB (cached 34MB) CPU [5%@729,5%@729,5%@729,4%@729,0%@1113,42%@1113] GR3D_FREQ 0% cpu@51.625C/52.687C soc2@50.937C/51.593C soc0@51.906C/52.687C gpu@52.312C/53.093C tj@52.312C/53.093C soc1@51.968C/52.812C VDD_IN 6089mW/5502mW/6249mW VDD_CPU_GPU_CV 1760mW/1617mW/1920mW VDD_SOC 1482mW/1311mW/1522mW
07-21-2026 19:01:52 RAM 1615/7546MB (lfb 60x4MB) SWAP 2410/8192MB (cached 34MB) CPU [10%@729,5%@729,9%@729,14%@729,0%@1728,50%@1728] GR3D_FREQ 0% cpu@51.75C/52.687C soc2@51.031C/51.593C soc0@51.875C/52.687C gpu@52.093C/53.093C tj@52.156C/53.093C soc1@52.156C/52.812C VDD_IN 6129mW/5514mW/6249mW VDD_CPU_GPU_CV 1800mW/1620mW/1920mW VDD_SOC 1482mW/1314mW/1522mW
