07-21-2026 21:07:41 RAM 1756/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [0%@729,0%@729,0%@729,0%@729,5%@729,9%@729] GR3D_FREQ 0% cpu@52.281C/52.75C soc2@51.781C/52C soc0@52.593C/52.937C gpu@52.75C/53.375C tj@52.781C/53.375C soc1@52.906C/53.187C VDD_IN 5048mW/5116mW/5328mW VDD_CPU_GPU_CV 1480mW/1503mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 21:07:41 RAM 1757/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 104MB) CPU [5%@729,4%@729,14%@729,9%@729,4%@729,9%@729] GR3D_FREQ 0% cpu@52.312C/52.75C soc2@51.75C/52C soc0@52.625C/52.937C gpu@53.156C/53.375C tj@53.156C/53.375C soc1@52.906C/53.187C VDD_IN 5088mW/5115mW/5328mW VDD_CPU_GPU_CV 1520mW/1503mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 21:07:41 RAM 1758/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [0%@729,5%@729,4%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.343C/52.75C soc2@51.75C/52C soc0@52.593C/52.937C gpu@52.843C/53.375C tj@52.937C/53.375C soc1@52.937C/53.187C VDD_IN 5088mW/5114mW/5328mW VDD_CPU_GPU_CV 1480mW/1502mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 21:07:41 RAM 1758/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@52.343C/52.75C soc2@51.687C/52C soc0@52.593C/52.937C gpu@52.687C/53.375C tj@53.062C/53.375C soc1@53.062C/53.187C VDD_IN 5088mW/5113mW/5328mW VDD_CPU_GPU_CV 1480mW/1502mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 21:07:42 RAM 1758/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [5%@729,5%@729,13%@729,5%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@52.406C/52.75C soc2@51.781C/52C soc0@52.687C/52.937C gpu@52.812C/53.375C tj@52.812C/53.375C soc1@52.75C/53.187C VDD_IN 5088mW/5112mW/5328mW VDD_CPU_GPU_CV 1480mW/1501mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 21:07:42 RAM 1758/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [4%@729,4%@729,4%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@52.218C/52.75C soc2@51.656C/52C soc0@52.781C/52.937C gpu@52.687C/53.375C tj@52.781C/53.375C soc1@52.75C/53.187C VDD_IN 5088mW/5111mW/5328mW VDD_CPU_GPU_CV 1480mW/1500mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 21:07:42 RAM 1758/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [0%@729,4%@729,0%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.125C/52.75C soc2@51.718C/52C soc0@52.718C/52.937C gpu@52.937C/53.375C tj@52.937C/53.375C soc1@52.875C/53.187C VDD_IN 5048mW/5109mW/5328mW VDD_CPU_GPU_CV 1480mW/1499mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 21:07:42 RAM 1758/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [4%@729,5%@729,4%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.25C/52.75C soc2@51.687C/52C soc0@52.531C/52.937C gpu@52.812C/53.375C tj@52.812C/53.375C soc1@52.812C/53.187C VDD_IN 5088mW/5108mW/5328mW VDD_CPU_GPU_CV 1480mW/1499mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 21:07:43 RAM 1758/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [0%@729,0%@729,4%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.375C/52.75C soc2@51.75C/52C soc0@52.562C/52.937C gpu@52.875C/53.375C tj@52.937C/53.375C soc1@52.937C/53.187C VDD_IN 5088mW/5107mW/5328mW VDD_CPU_GPU_CV 1480mW/1498mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 21:07:43 RAM 1758/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [0%@729,4%@729,5%@729,0%@729,9%@729,9%@729] GR3D_FREQ 0% cpu@52.25C/52.75C soc2@51.687C/52C soc0@52.593C/52.937C gpu@52.718C/53.375C tj@53C/53.375C soc1@53C/53.187C VDD_IN 5048mW/5105mW/5328mW VDD_CPU_GPU_CV 1480mW/1498mW/1600mW VDD_SOC 1200mW/1203mW/1240mW
07-21-2026 21:07:43 RAM 1761/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [9%@729,5%@729,9%@729,4%@729,4%@1728,0%@1728] GR3D_FREQ 0% cpu@52.437C/52.75C soc2@51.625C/52C soc0@52.625C/52.937C gpu@53.093C/53.375C tj@53.093C/53.375C soc1@52.718C/53.187C VDD_IN 5128mW/5106mW/5328mW VDD_CPU_GPU_CV 1480mW/1497mW/1600mW VDD_SOC 1200mW/1202mW/1240mW
07-21-2026 21:07:43 RAM 1772/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [4%@729,4%@729,0%@729,0%@729,14%@729,23%@729] GR3D_FREQ 0% cpu@52.156C/52.75C soc2@51.625C/52C soc0@52.468C/52.937C gpu@52.625C/53.375C tj@52.781C/53.375C soc1@52.718C/53.187C VDD_IN 5208mW/5109mW/5328mW VDD_CPU_GPU_CV 1520mW/1498mW/1600mW VDD_SOC 1200mW/1202mW/1240mW
