07-21-2026 18:55:35 RAM 1824/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [10%@729,5%@729,4%@729,5%@729,0%@729,4%@729] GR3D_FREQ 32% cpu@49.875C/50.343C soc2@49.5C/49.812C soc0@50.718C/50.812C gpu@50.593C/51.156C tj@50.718C/51.156C soc1@50.5C/50.906C VDD_IN 5048mW/5067mW/5248mW VDD_CPU_GPU_CV 1480mW/1482mW/1560mW VDD_SOC 1200mW/1202mW/1241mW
07-21-2026 18:55:35 RAM 1825/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [4%@729,0%@729,0%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@49.906C/50.343C soc2@49.437C/49.812C soc0@50.468C/50.812C gpu@50.437C/51.156C tj@50.718C/51.156C soc1@50.531C/50.906C VDD_IN 5048mW/5066mW/5248mW VDD_CPU_GPU_CV 1480mW/1482mW/1560mW VDD_SOC 1200mW/1202mW/1241mW
07-21-2026 18:55:35 RAM 1825/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [4%@729,0%@729,0%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@50.093C/50.343C soc2@49.5C/49.812C soc0@50.468C/50.812C gpu@50.531C/51.156C tj@50.562C/51.156C soc1@50.562C/50.906C VDD_IN 5008mW/5064mW/5248mW VDD_CPU_GPU_CV 1440mW/1480mW/1560mW VDD_SOC 1200mW/1202mW/1241mW
07-21-2026 18:55:35 RAM 1822/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [0%@729,5%@729,4%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@49.781C/50.343C soc2@49.562C/49.812C soc0@50.5C/50.812C gpu@50.937C/51.156C tj@50.937C/51.156C soc1@50.656C/50.906C VDD_IN 5048mW/5063mW/5248mW VDD_CPU_GPU_CV 1480mW/1480mW/1560mW VDD_SOC 1200mW/1202mW/1241mW
07-21-2026 18:55:36 RAM 1822/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [9%@729,4%@729,0%@729,0%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@49.875C/50.343C soc2@49.406C/49.812C soc0@50.562C/50.812C gpu@50.375C/51.156C tj@50.562C/51.156C soc1@50.343C/50.906C VDD_IN 5048mW/5063mW/5248mW VDD_CPU_GPU_CV 1440mW/1479mW/1560mW VDD_SOC 1200mW/1202mW/1241mW
07-21-2026 18:55:36 RAM 1822/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [0%@729,0%@729,4%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@49.875C/50.343C soc2@49.562C/49.812C soc0@50.406C/50.812C gpu@50.781C/51.156C tj@50.781C/51.156C soc1@50.437C/50.906C VDD_IN 5008mW/5061mW/5248mW VDD_CPU_GPU_CV 1440mW/1477mW/1560mW VDD_SOC 1200mW/1202mW/1241mW
07-21-2026 18:55:36 RAM 1822/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [13%@729,0%@729,10%@729,0%@729,9%@729,4%@729] GR3D_FREQ 0% cpu@49.937C/50.343C soc2@49.468C/49.812C soc0@50.5C/50.812C gpu@50.937C/51.156C tj@50.937C/51.156C soc1@50.468C/50.906C VDD_IN 5088mW/5062mW/5248mW VDD_CPU_GPU_CV 1480mW/1477mW/1560mW VDD_SOC 1200mW/1201mW/1241mW
07-21-2026 18:55:36 RAM 1822/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [0%@729,9%@729,0%@729,4%@729,4%@729,4%@729] GR3D_FREQ 0% cpu@50C/50.343C soc2@49.468C/49.812C soc0@50.437C/50.812C gpu@50.656C/51.156C tj@50.656C/51.156C soc1@50.468C/50.906C VDD_IN 5048mW/5061mW/5248mW VDD_CPU_GPU_CV 1440mW/1476mW/1560mW VDD_SOC 1200mW/1201mW/1241mW
07-21-2026 18:55:36 RAM 1822/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [5%@729,0%@729,0%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@50.062C/50.343C soc2@49.343C/49.812C soc0@50.468C/50.812C gpu@50.406C/51.156C tj@50.656C/51.156C soc1@50.656C/50.906C VDD_IN 5008mW/5060mW/5248mW VDD_CPU_GPU_CV 1440mW/1475mW/1560mW VDD_SOC 1200mW/1201mW/1241mW
07-21-2026 18:55:37 RAM 1823/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [0%@729,0%@729,9%@729,4%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@49.687C/50.343C soc2@49.375C/49.812C soc0@50.593C/50.812C gpu@50.531C/51.156C tj@50.593C/51.156C soc1@50.281C/50.906C VDD_IN 5048mW/5059mW/5248mW VDD_CPU_GPU_CV 1480mW/1475mW/1560mW VDD_SOC 1200mW/1201mW/1241mW
07-21-2026 18:55:37 RAM 1840/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [9%@1190,0%@1190,0%@1190,21%@1190,0%@729,9%@729] GR3D_FREQ 0% cpu@50.062C/50.343C soc2@49.5C/49.812C soc0@50.437C/50.812C gpu@50.437C/51.156C tj@50.437C/51.156C soc1@50.375C/50.906C VDD_IN 5168mW/5063mW/5248mW VDD_CPU_GPU_CV 1520mW/1476mW/1560mW VDD_SOC 1200mW/1201mW/1241mW
07-21-2026 18:55:37 RAM 1842/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [14%@1728,0%@1728,4%@1728,52%@1728,0%@729,9%@729] GR3D_FREQ 0% cpu@50.25C/50.343C soc2@49.5C/49.812C soc0@50.375C/50.812C gpu@50.468C/51.156C tj@50.468C/51.156C soc1@50.468C/50.906C VDD_IN 5568mW/5077mW/5568mW VDD_CPU_GPU_CV 1640mW/1481mW/1640mW VDD_SOC 1322mW/1205mW/1322mW
07-21-2026 18:55:37 RAM 1838/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [35%@1728,10%@1728,0%@1728,40%@1728,0%@729,4%@729] GR3D_FREQ 0% cpu@50.406C/50.406C soc2@49.656C/49.812C soc0@50.468C/50.812C gpu@51.031C/51.156C tj@51.031C/51.156C soc1@50.625C/50.906C VDD_IN 5849mW/5099mW/5849mW VDD_CPU_GPU_CV 1760mW/1489mW/1760mW VDD_SOC 1402mW/1210mW/1402mW
07-21-2026 18:55:37 RAM 1837/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [5%@1728,23%@1728,13%@1728,20%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.343C/50.406C soc2@49.437C/49.812C soc0@50.437C/50.812C gpu@50.656C/51.156C tj@50.656C/51.156C soc1@50.625C/50.906C VDD_IN 5929mW/5123mW/5929mW VDD_CPU_GPU_CV 1760mW/1497mW/1760mW VDD_SOC 1402mW/1216mW/1402mW
07-21-2026 18:55:38 RAM 1837/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [25%@1113,9%@1113,5%@1113,27%@1113,0%@729,0%@729] GR3D_FREQ 0% cpu@49.968C/50.406C soc2@49.531C/49.812C soc0@50.5C/50.812C gpu@50.5C/51.156C tj@50.531C/51.156C soc1@50.375C/50.906C VDD_IN 5889mW/5143mW/5929mW VDD_CPU_GPU_CV 1720mW/1503mW/1760mW VDD_SOC 1402mW/1221mW/1402mW
07-21-2026 18:55:38 RAM 1833/7546MB (lfb 190x4MB) SWAP 2314/8192MB (cached 169MB) CPU [15%@729,15%@729,5%@729,20%@729,19%@1728,5%@1728] GR3D_FREQ 0% cpu@49.937C/50.406C soc2@49.5C/49.812C soc0@50.625C/50.812C gpu@50.656C/51.156C tj@50.656C/51.156C soc1@50.375C/50.906C VDD_IN 6009mW/5166mW/6009mW VDD_CPU_GPU_CV 1760mW/1509mW/1760mW VDD_SOC 1442mW/1227mW/1442mW
07-21-2026 18:55:38 RAM 1830/7546MB (lfb 188x4MB) SWAP 2314/8192MB (cached 169MB) CPU [9%@729,4%@729,4%@729,0%@729,42%@1728,4%@1728] GR3D_FREQ 0% cpu@50C/50.406C soc2@49.562C/49.812C soc0@50.437C/50.812C gpu@50.468C/51.156C tj@50.468C/51.156C soc1@50.468C/50.906C VDD_IN 6009mW/5188mW/6009mW VDD_CPU_GPU_CV 1760mW/1516mW/1760mW VDD_SOC 1442mW/1232mW/1442mW
07-21-2026 18:55:38 RAM 1830/7546MB (lfb 188x4MB) SWAP 2314/8192MB (cached 169MB) CPU [9%@729,0%@729,0%@729,0%@729,39%@1113,5%@1113] GR3D_FREQ 0% cpu@50.312C/50.406C soc2@49.5C/49.812C soc0@50.468C/50.812C gpu@50.531C/51.156C tj@50.625C/51.156C soc1@50.625C/50.906C VDD_IN 6009mW/5208mW/6009mW VDD_CPU_GPU_CV 1720mW/1521mW/1760mW VDD_SOC 1442mW/1237mW/1442mW
07-21-2026 18:55:38 RAM 1830/7546MB (lfb 188x4MB) SWAP 2314/8192MB (cached 169MB) CPU [5%@729,9%@729,9%@729,18%@729,11%@1113,25%@1113] GR3D_FREQ 0% cpu@50.218C/50.406C soc2@49.406C/49.812C soc0@50.468C/50.812C gpu@50.343C/51.156C tj@50.718C/51.156C soc1@50.718C/50.906C VDD_IN 6049mW/5229mW/6049mW VDD_CPU_GPU_CV 1760mW/1527mW/1760mW VDD_SOC 1482mW/1243mW/1482mW
07-21-2026 18:55:39 RAM 1830/7546MB (lfb 189x4MB) SWAP 2314/8192MB (cached 169MB) CPU [4%@729,0%@729,0%@729,4%@729,34%@1113,14%@1113] GR3D_FREQ 0% cpu@49.875C/50.406C soc2@49.5C/49.812C soc0@50.593C/50.812C gpu@50.468C/51.156C tj@50.593C/51.156C soc1@50.375C/50.906C VDD_IN 6009mW/5247mW/6049mW VDD_CPU_GPU_CV 1720mW/1531mW/1760mW VDD_SOC 1482mW/1249mW/1482mW
